series number,series title,series dates,subseries number,subseries title,subseries dates,file id,file title,file dates,extent,physdesc,internal only,restrictions,conditions governing access,scopecontent,note1,note2,instance type,container 1 type,container 1 number,container 2 type,container 2 number,container 3 type,container 3 number,geogname,geogname_source,corpname,corpname_source,famname,famname_source,name,name_source,persname,persname_source,subject,subject_source
UA RG 0003.001.001,Records Of President Charles Frederick Allen [Term 1871-1878],1871-1976,UA RG 0003.001.001.001,Correspondence,1896-1953,,Correspondence Concerning C.F. Allen ,1896-1953,,,,,,Correspondence concerning the death and burial location of Charles Frederick Allen.,,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.001,Records Of President Charles Frederick Allen [Term 1871-1878],1871-1976,UA RG 0003.001.001.002,Subject Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.001,Records Of President Charles Frederick Allen [Term 1871-1878],1871-1976,UA RG 0003.001.001.003,Biographical History Files,1869-1976,,Maine Historical Society Collections And Proceedings Series,1869-1976,,,,,,"Facsimiles of Maine Historical Society Collections and Proceedings articles written by Charles Frederick Allen on Huguenots and the first Maine Bishop, facsimile of an extract from the History of the First United Methodist Church of Bangor which includes details of Charles Frederick Allen being appointed to the Church at their 1869 conference, and a facsimile of an extract from the History of Methodism in Maine which includes a picture of Charles Frederick Allen (1887-1976).",,,Mixed materials,Box,1,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.001,Records Of President Charles Frederick Allen [Term 1871-1878],1871-1976,UA RG 0003.001.001.003,Biographical History Files,1869-1976,,Personal History,1916-1942,,,,,,"Biographical sketch of Harriet M. Skeele who painted the portrait of Charles Frederick Allen which hangs in Fogler Library, facsimile biographical sketches of Charles Frederick Allen from various sources including a History of University of Maine by M.C. Fernald (1916), and a letter from University of Maine Executive Secretary Charles E. Crossland to Morse. S. Allen offering sympathies to him on the death of his father, Charles Morse Allen who was Charles Frederick Allen�s son (1942).",,,Mixed materials,Box,1,Folder,3,,,,,,,,,,,,,,
UA RG 0003.001.001,Records Of President Charles Frederick Allen [Term 1871-1878],1871-1878,UA RG 0003.001.001.004,Administrative Files,1871-1878,,Board Of Trustee Minutes,1871-1878,,,,,,"Sections of Maine State College of Agriculture and the Mechanic Arts Board of Trustees meeting minutes from the election in (1871) and resignation (1878) of Charles Frederick Allen as President of the College. Also, Board vote for Charles Frederick Allen to prepare and forward a memorial to Congress on behalf of faculty on aid for Industrial Education (1872).",,,Mixed materials,Box,1,Folder,4,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.001,Correspondence,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.002,Subject Files,,,,,,,,,,,,,Mixed materials,,,,,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Letter Re. Collection,1934,,,,,,"Letter from James A. Gannett, University of Maine Registrar to Dorothy Smith, Librarian regarding the transfer of records from Fernald�s grandson John A. Pierce to the University of Maine (1934).",,,Mixed materials,Box,1,Folder,1,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Poetry,,,,,,,Fernald�s Wife Mary Lovejoy Fernald's family poetry.,,,Mixed materials,Box,1,Folder,2,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Poetry,,,,,,,Fernald�s Wife Mary Lovejoy Fernald's family poetry.,,,Mixed materials,Box,1,Folder,3,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Poetry � Charades,,,,,,,Books of charades.,,,Mixed materials,Box,1,Folder,4,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Mazes To Thread � A Book Of Charades,,,,,,,"Various records relating to Fernald�s Wife Mary Lovejoy Fernald, including poetry by her: a bound collection dedicated to C.F. Pierce (1913) and books of charades (1917), a birthday cross-word puzzle (1925) and cover letter to puzzle by Mary Lovejoy Fernald, a mother goose carnival arranged by her, speech delivered to All Maine Women, and typescript of charades composed by Fernald (1983).",,,Mixed materials,Box,1,Folder,5,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Poetry Book To C.F. Pierce,1913,,,,,,A bound collection of poetry dedicated to C.F. Pierce.,,,Mixed materials,Box,1,Folder,6,,,,,,,,,,,,,,
UA RG 0003.001.002,Records Of President Merritt Caldwell Fernald [Term 1879-1893],1810-1983,UA RG 0003.001.002.003,Biographical History Files,1810-1983,,Poetry � Charades,,,,,,,Books of charades.,,,Mixed materials,Box,1,Folder,7,,,,,,,,,,,,,,
