series title,series number,series dates,subseries number,subseries title,subseries dates,file id,file title,file dates,extent,physdesc,internal only,restrictions,conditions governing access,scopecontent,note1,note2,instance type,container 1 type,container 1 number,container 2 type,container 2 number,container 3 type,container 3 number,geogname,geogname_source,corpname,corpname_source,famname,famname_source,name,name_source,persname,persname_source,subject,subject_source
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 1 Birth Certificate May 1 1912,1912,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 2 Congratulatory Letters May 1 1912,1912,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 3 School Drawings 1918,1918,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 4 Plans for House (Lincoln School ninth grade) 1926-1927,1926-1927,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,4,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 5 Art Book (Lincoln School eighth grade) 1926,1926,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,5,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 6 Our Food Study (Lincoln School fourth grade) 1921-1922,1921-1922,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,6,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 7 Weaving Booklet (Lincoln School fourth grade) 1921-1922,1921-1922,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,7,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 8a My Poems (Lincoln School fifth grade) 1922-1923 (file 1 of 2),1922-1923 ,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,8a,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 8b My Poems (Lincoln School fifth grade) 1922-1923 (file 2 of 2),1922-1923 ,,,,,,,,,Microform,Reel,1,Box,I 1,Folder,8b,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 1 Christmas Cards 1926-1927,1926-1927,,,,,,,,,Microform,Reel,1,Box,I 2,Folder,1,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 2 Loomis: General Correspondence 1928-1930,1928-1930,,,,,,,,,Microform,Reel,1,Box,I 2,Folder,2,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 3a Loomis: Miscellany 1928-1930 (file 1 of 2),1928-1930 ,,,,,,,,,Microform,Reel,1,Box,I 2,Folder,3,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 3b Loomis: Miscellany 1928-1930 (file 2 of 2),1928-1930 ,,,,,,,,,Microform,Reel,1,Box,I 2,Folder,3b,,,,,,,,,,,,
Personal papers,I,,I.1,General Correspondence,1912-1930,,File 4 Loomis: School Reports 1928-1930,1928-1930,,,,,,,,,Microform,Reel,1,Box,I 2,Folder,4,,,,,,,,,,,,
